Avarage top 15 position,How many times in top 15,Avarage points in top 15,Name
8,75,4530,NULL
3,5,6314,Simona Halep
5,5,5196,Karolina Pliskova
5,5,4960,Elina Svitolina
7,5,4617,Petra Kvitova
4,4,6523,Ashleigh Barty
3,4,5692,Naomi Osaka
7,4,4627,Kiki Bertens
11,4,3512,Aryna Sabalenka
6,3,5054,Caroline Wozniacki
6,3,4722,Sloane Stephens
6,3,4673,Angelique Kerber
11,3,3922,Belinda Bencic
10,3,3808,Serena Wiliams
6,2,4844,Bianca Adreescu
9,2,4783,Garbine Muguruza
9,2,4250,Sofia Kenin
12,2,3270,Daria Kastakina
11,2,3268,Anastazija Sevastova
11,2,3151,Madison Keys
13,2,3132,Julia Goegers
13,2,3015,Johanna Konta
13,2,2900,Elise Mertens
6,1,4960,Caroline Garcia
9,1,3971,Venus Wiliams
13,1,3426,Victoria Azarenka
12,1,3392,Jelena Ostapenkow
15,1,2752,Qiang Wang
15,1,2617,Petra Martic
